"id","pfd_period_no","wk","prd_name","prd_series","qty_fc","update_datetime"
36790,"202323",WK2323,RGP-096L-0D,RGP,403000,2023-09-12 14:29:53.054
188615,"202323",WK2324,RGP-096L-0D,RGP,373000,2023-09-12 14:29:53.054
313901,"202323",WK2325,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
127887,"202323",WK2326,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
285821,"202323",WK2327,RGP-096L-0D,RGP,219085,2023-09-12 14:29:53.054
304587,"202323",WK2328,RGP-096L-0D,RGP,369000,2023-09-12 14:29:53.054
252475,"202323",WK2329,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
121925,"202323",WK2330,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
334955,"202323",WK2331,RGP-096L-0D,RGP,403469,2023-09-12 14:29:53.054
267770,"202323",WK2332,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
88086,"202323",WK2333,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
307708,"202323",WK2334,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
210072,"202323",WK2335,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
222300,"202323",WK2336,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
252476,"202323",WK2337,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
109559,"202323",WK2338,RGP-096L-0D,RGP,168720,2023-09-12 14:29:53.054
22010,"202323",WK2339,RGP-096L-0D,RGP,348688,2023-09-12 14:29:53.054
197520,"202323",WK2340,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
222301,"202323",WK2341,RGP-096L-0D,RGP,348688,2023-09-12 14:29:53.054
279862,"202323",WK2342,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
377908,"202324",WK2324,RGP-096L-0D,RGP,326000,2023-09-12 14:29:53.054
103605,"202324",WK2325,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
185937,"202324",WK2326,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
234264,"202324",WK2327,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
307926,"202324",WK2328,RGP-096L-0D,RGP,369000,2023-09-12 14:29:53.054
231347,"202324",WK2329,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
54967,"202324",WK2330,RGP-096L-0D,RGP,357617,2023-09-12 14:29:53.054
329226,"202324",WK2331,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
277059,"202324",WK2332,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
16045,"202324",WK2333,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
317255,"202324",WK2334,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
31233,"202324",WK2335,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
137065,"202324",WK2336,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
28241,"202324",WK2337,RGP-096L-0D,RGP,112480,2023-09-12 14:29:53.054
31234,"202324",WK2338,RGP-096L-0D,RGP,224960,2023-09-12 14:29:53.054
22195,"202324",WK2339,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
359859,"202324",WK2340,RGP-096L-0D,RGP,371184,2023-09-12 14:29:53.054
167876,"202324",WK2341,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
122108,"202324",WK2342,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
344051,"202324",WK2343,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
311221,"202325",WK2325,RGP-096L-0D,RGP,459085,2023-09-12 14:29:53.054
308100,"202325",WK2326,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
234473,"202325",WK2327,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
180126,"202325",WK2328,RGP-096L-0D,RGP,369000,2023-09-12 14:29:53.054
252858,"202325",WK2329,RGP-096L-0D,RGP,439085,2023-09-12 14:29:53.054
305009,"202325",WK2330,RGP-096L-0D,RGP,357256,2023-09-12 14:29:53.054
109943,"202325",WK2331,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
363026,"202325",WK2332,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
55171,"202325",WK2333,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
116218,"202325",WK2334,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
258994,"202325",WK2335,RGP-096L-0D,RGP,281200,2023-09-12 14:29:53.054
222675,"202325",WK2336,RGP-096L-0D,RGP,337440,2023-09-12 14:29:53.054
