"prd_name","prd_series","factory","unit","process","qty_wip_detail","ro_seq","std_day"
RGP-096L-0D,RGP,A1,QA,QA,50760,"131",1
RGP-096L-0D,RGP,A1,FIN,FIN,24516,"129",1
RGP-096L-0D,RGP,A1,FIN,FBLK,16632,"128",1
RGP-096L-0D,RGP,A1,FIN,FQCR,33696,"120",2
RGP-096L-0D,RGP,A1,FIN,FSTB,33696,"119",2
RGP-096L-0D,RGP,A1,FIN,FVIC,16848,"115",2
RGP-096L-0D,RGP,A1,FIN,FSCAN,16848,"114",3
RGP-096L-0D,RGP,A1,FIN,FLAB,33696,"113",3
RGP-096L-0D,RGP,A1,CVC,SMP,134244,"111",3
RGP-096L-0D,RGP,A1,SFT,ELGOP,67176,"108",3
RGP-096L-0D,RGP,A1,SFT,SPDS,16848,"106",3
RGP-096L-0D,RGP,A1,CFM,LSB2,83052,"103",4
RGP-096L-0D,RGP,A1,CFM,S2D2,16848,"100",4
RGP-096L-0D,RGP,A1,CFM,LSB,33696,"96",5
RGP-096L-0D,RGP,A1,CVC,CBAK2,16848,"87",6
RGP-096L-0D,RGP,A1,PTH,PTHFL,224748,"58",12
RGP-096L-0D,RGP,A1,PTH,DPPB,50544,"56",12
RGP-096L-0D,RGP,A1,PTH,PDS,67284,"54",13
RGP-096L-0D,RGP,A1,PTH,LAS,50544,"53",13
RGP-096L-0D,RGP,A1,PTH,PVIC,134784,"47",14
RGP-096L-0D,RGP,A1,CFM,DES,83700,"46",15
RGP-096L-0D,RGP,A1,CFM,RXLV,16848,"45",15
RGP-096L-0D,RGP,A1,CVC,CFM,117936,"40",16
RGP-096L-0D,RGP,A1,CVC,CCFR,16848,"38",16
RGP-096L-0D,RGP,A1,CVC,CBAK,90612,"35",16
RGP-096L-0D,RGP,A1,CFM,RAOIVT+,33696,"32",17
RGP-096L-0D,RGP,A1,CFM,RDES+,33696,"26",18
RGP-096L-0D,RGP,A1,CFM,KRHOLD+,67392,"25",19
RGP-096L-0D,RGP,A1,PTH,RTHI,134784,"18",21
RGP-096L-0D,RGP,A1,PTH,RDPPI,134784,"11",22
RGP-096L-0D,RGP,A1,PTH,REW,33696,"7",23
RGP-096L-0D,RGP,A1,PTH,RLAS,33696,"2",24
RGP-096L-0DL3,RGP,A1,CVC,CVIC,35424,"7",1
RGP-096L-0DL3,RGP,A1,CVC,CPIC,70848,"6",1
RGP-096L-0DL3,RGP,A1,CVC,RADL,141696,"3",1
RGP-096L-0DL3,RGP,A1,CFM,CFL,70848,"2",1
RGP-141L-0B,RGP,A1,FIN,FSTB,4672,"122",2
RGP-141L-0B,RGP,A1,CVC,CQSTH,18656,"114",3
RGP-141L-0B,RGP,A1,SFT,SPDS,37184,"109",4
RGP-141L-0B,RGP,A1,CFM,LSPB2,4640,"99",5
RGP-141L-0B,RGP,A1,CFM,LSP2,4672,"98",5
RGP-141L-0B,RGP,A1,CFM,CSC2,125824,"95",5
RGP-141L-0BL1,RGP,A1,CVC,CADL,4672,"6",1
RGP-141L-0BL1,RGP,A1,CVC,CPIC,4672,"5",1
RGP-141L-0BL4,RGP,A1,CVC,RADL,18688,"3",1
RGP-145S-0B,RGP,A1,FIN,FPINA,21312,"40",2
RGP-145S-0B,RGP,A1,SFT,SCFR,85248,"33",3
RGP-145S-0B,RGP,A1,FIN,FHPS2,10656,"31",3
RGP-145S-0B,RGP,A1,FIN,FHPS,10656,"29",4
RGP-145S-0B,RGP,A1,FIN,FSTH,63936,"28",4
RGP-145S-0B,RGP,A1,CVC,RCSS,31968,"16",5
RGP-145S-0B,RGP,A1,CVC,CREW,31968,"13",7
RGP-145S-0B,RGP,A1,CVC,RCLL,31968,"12",7
RGP-145S-0B,RGP,A1,CFM,RCSC+,31968,"11",8
RGP-145S-0B,RGP,A1,CFM,RDES-,31968,"6",9
RGP-145S-1B,RGP,A1,FIN,FBLK,21312,"49",1
RGP-145S-1B,RGP,A1,FIN,FPIC,10656,"46",2
RGP-145S-1B,RGP,A1,FIN,FVIC2,10656,"45",2
RGP-145S-1B,RGP,A1,FIN,FINA,21312,"42",2
RGP-184S-0D,RGP,A1,QA,QA-Z,19560,"50",1
RGP-184S-0D,RGP,A1,FIN,FBLK,18720,"47",2
RGP-184S-0D,RGP,A1,FIN,FVIC2,37440,"44",3
RGP-184S-0D,RGP,A1,FIN,FOST2,35640,"40",3
RGP-184S-0D,RGP,A1,FIN,FVIC,18720,"37",4
RGP-184S-0D,RGP,A1,SFT,SCFR,37440,"34",4
RGP-184S-0D,RGP,A1,CVC,CF,18720,"33",4
RGP-184S-0D,RGP,A1,FIN,FHPS2,4800,"32",5
RGP-184S-0D,RGP,A1,FIN,FSTH2,48480,"31",5
RGP-184S-0D,RGP,A1,FIN,FSTH,406440,"29",5
RGP-184S-0D,RGP,A1,SFT,ELGOP,18720,"27",5
RGP-184S-0D,RGP,A1,SFT,SCHS,168240,"26",5
RGP-184S-0D,RGP,A1,CFM,CUTA+,71760,"21",6
RGP-184S-0D,RGP,A1,CFM,LRPHP#,23280,"20",6
RGP-184S-0D,RGP,A1,CFM,KREW2,22800,"18",6
RGP-184S-0D,RGP,A1,CVC,RCSS,74880,"17",6
RGP-184S-0D,RGP,A1,CVC,RCLL,90720,"13",7
RGP-266L-0B,RGP,A1,FIN,FINA,4864,"152",1
RGP-266L-0B,RGP,A1,FIN,FBAK,4864,"144",2
RGP-266L-0B,RGP,A1,FIN,FSTB2,4864,"142",2
RGP-266L-0B,RGP,A1,FIN,FSTB,9664,"141",2
RGP-266L-0B,RGP,A1,CVC,SMP,9728,"135",3
RGP-266L-0B,RGP,A1,CVC,SMPJ,9664,"134",3
RGP-266L-0B,RGP,A1,SFT,SCFR,4864,"132",3
RGP-266L-0B,RGP,A1,CVC,CQBAK2,4864,"131",3
RGP-266L-0B,RGP,A1,CVC,CQCR,4736,"130",3
RGP-266L-0B,RGP,A1,CVC,CQHPS,9632,"129",3
RGP-266L-0B,RGP,A1,CVC,CSTHA,38816,"128",3
RGP-266L-0B,RGP,A1,SFT,ELGOP,23840,"125",4
RGP-266L-0B,RGP,A1,SFT,SPDS,43328,"123",4
RGP-266L-0B,RGP,A1,CFM,LSB,24256,"120",4
RGP-266L-0B,RGP,A1,CFM,LSD,4864,"119",4
RGP-266L-0B,RGP,A1,CFM,LSE,4864,"118",4
RGP-266L-0B,RGP,A1,CFM,AOIPI2,4864,"100",6
RGP-266L-0B,RGP,A1,CFM,KRHOLD2#,72608,"92",9
RGP-266L-0B,RGP,A1,CFM,RXD2#,9728,"91",10
RGP-266L-0B,RGP,A1,CFM,RDFLV3#,4864,"89",10
RGP-266L-0B,RGP,A1,CFM,RSTRP2+,19392,"87",10
RGP-266L-0B,RGP,A1,PTH,RTHI2+,4864,"85",11
RGP-266L-0B,RGP,A1,CFM,RDEV2+,14560,"83",11
RGP-266L-0B,RGP,A1,CFM,RXLT2+,14592,"82",11
RGP-266L-0B,RGP,A1,CFM,RDFL2+,29024,"80",12
RGP-266L-0B,RGP,A1,PTH,RPTHFL+,43776,"79",12
RGP-266L-0B,RGP,A1,PTH,RDPPI3+,4864,"78",12
RGP-266L-0B,RGP,A1,PTH,RDPPI2+,9600,"77",12
RGP-266L-0B,RGP,A1,PTH,REW10+,9728,"76",13
RGP-266L-0B,RGP,A1,PTH,REW10+,4608,"76",13
RGP-266L-0B,RGP,A1,PTH,RDPP2+,9728,"75",13
RGP-266L-0B,RGP,A1,PTH,RDPP2+,18048,"75",13
RGP-266L-0B,RGP,A1,PTH,REW9+,4768,"74",13
RGP-266L-0B,RGP,A1,PTH,REW9+,4864,"74",13
RGP-266L-0B,RGP,A1,PTH,RPDS2+,4576,"73",13
RGP-266L-0B,RGP,A1,PTH,RPDS2+,14560,"73",13
RGP-266L-0B,RGP,A1,PTH,PBAK2+,9696,"71",13
RGP-266L-0B,RGP,A1,PTH,RLASC2+,4864,"67",14
RGP-266L-0B,RGP,A1,PTH,RLASC2+,4864,"67",14
RGP-266L-0B,RGP,A1,PTH,RLASC+,9728,"66",14
RGP-266L-0B,RGP,A1,PTH,REW6+,68032,"65",14
RGP-266L-0B,RGP,A1,PTH,RSL+,4864,"64",14
RGP-266L-0B,RGP,A1,PTH,RSL+,63136,"64",14
RGP-266L-0B,RGP,A1,CFM,RAOIVT2+,38912,"63",15
RGP-266L-0B,RGP,A1,CFM,RAOIPI3+,15968,"61",15
RGP-266L-0B,RGP,A1,CFM,RAOIPI3+,1088,"61",15
RGP-266L-0B,RGP,A1,CFM,RDES2+,14592,"60",16
RGP-266L-0B,RGP,A1,CFM,RXLV+,24288,"59",16
RGP-266L-0B,RGP,A1,CFM,KR2D3+,9728,"58",16
RGP-266L-0B,RGP,A1,CFM,RDFLV2+,14528,"57",16
RGP-266L-0B,RGP,A1,CFM,RMCH2+,31968,"56",16
RGP-266L-0B,RGP,A1,PTH,PBAK+,4864,"54",16
RGP-266L-0B,RGP,A1,PTH,SRCON,19456,"52",16
RGP-266L-0B,RGP,A1,CVC,CVIC,19456,"51",17
RGP-266L-0B,RGP,A1,CVC,CFM,24320,"49",17
RGP-266L-0B,RGP,A1,CVC,CCFR,14592,"47",17
RGP-266L-0B,RGP,A1,CVC,STM,9728,"45",18
RGP-266L-0B,RGP,A1,CVC,CVL,9728,"43",18
RGP-266L-0B,RGP,A1,CFM,CUTA-,9728,"41",18
RGP-266L-0B,RGP,A1,CVC,RCADL,38912,"40",18
RGP-266L-0B,RGP,A1,CFM,RCSC2+,19456,"39",18
RGP-266L-0B,RGP,A1,CFM,RAOIVT+,9728,"37",19
RGP-266L-0B,RGP,A1,CFM,RAOIPI+,9728,"35",19
RGP-266L-0B,RGP,A1,PTH,PRP2DB,19392,"33",20
RGP-266L-0B,RGP,A1,PTH,PRP2DB,640,"33",20
RGP-266L-0B,RGP,A1,CFM,RPHP+,2080,"32",20
RGP-266L-0B,RGP,A1,CFM,RSTRP+,28928,"22",22
RGP-266L-0B,RGP,A1,PTH,REW4+,9728,"18",23
RGP-266L-0B,RGP,A1,PTH,RDPPI+,19456,"12",23
RGP-266L-0B,RGP,A1,PTH,RDPP+,19456,"10",24
RGP-266L-0BL1,RGP,A1,CVC,CPIC,24320,"5",1
RGP-266L-0BL1,RGP,A1,CVC,CCUT/,29184,"3",1
RGP-266L-0BL1,RGP,A1,CFM,CFL,29184,"2",1
RGP-266L-0BL4,RGP,A1,CVC,CPIC,34048,"6",1
RGP-266L-0BL4,RGP,A1,CVC,CCUT/,9728,"4",1
RGP-266L-0BL4,RGP,A1,CVC,RADL,29184,"3",1
RGP-266L-0BL4,RGP,A1,CFM,CFL,29184,"2",1
RGP-309S-0B,RGP,A1,SFT,SPDS,32256,"48",1
RGP-309S-0B,RGP,A1,FIN,FPIC,80640,"46",1
RGP-309S-0B,RGP,A1,FIN,FVIC2,64512,"45",2
RGP-309S-0B,RGP,A1,FIN,FPIA,32256,"43",2
RGP-309S-0B,RGP,A1,FIN,FINA,32256,"42",2
RGP-309S-0B,RGP,A1,FIN,FPINA,16128,"41",2
RGP-309S-0B,RGP,A1,FIN,FOST2,16128,"40",2
RGP-309S-0B,RGP,A1,FIN,FOST,161073,"39",2
RGP-309S-0B,RGP,A1,FIN,FCLN,48384,"38",2
RGP-309S-0B,RGP,A1,FIN,FVIC,48384,"37",2
RGP-309S-0B,RGP,A1,FIN,FLAB,16128,"36",2
RGP-309S-0B,RGP,A1,CVC,SMPJ,80256,"35",2
RGP-309S-0B,RGP,A1,SFT,SCFR,101952,"34",3
RGP-309S-0B,RGP,A1,CVC,CF,145152,"33",3
RGP-309S-0B,RGP,A1,FIN,FHPS2,46560,"32",3
RGP-309S-0B,RGP,A1,FIN,FHPS,16128,"30",3
RGP-309S-0B,RGP,A1,FIN,FSTH,32256,"29",3
RGP-309S-0B,RGP,A1,FIN,FSTH,717312,"29",3
RGP-309S-0B,RGP,A1,SFT,ELGOP,64512,"27",4
RGP-309S-0B,RGP,A1,SFT,SCHS,64512,"26",4
RGP-309S-0B,RGP,A1,CVC,CINP+,322560,"22",4
RGP-309S-0B,RGP,A1,CVC,CINP+,32256,"22",4
RGP-309S-0B,RGP,A1,CFM,CUTA+,161280,"21",4
RGP-309S-0B,RGP,A1,CFM,CUTA+,32256,"21",4
RGP-309S-0B,RGP,A1,CFM,RLSB,32256,"19",5
RGP-309S-0B,RGP,A1,CFM,RLSB,64512,"19",5
RGP-309S-0B,RGP,A1,CVC,RCSS,96768,"17",5
RGP-309S-0B,RGP,A1,CVC,RCSS,32256,"17",5
RGP-309S-0B,RGP,A1,CVC,CREW3,32256,"16",6
RGP-309S-0B,RGP,A1,CVC,RSTL,32256,"15",6
RGP-309S-0B,RGP,A1,CVC,RCLL,64512,"13",7
RGP-309S-0B,RGP,A1,CVC,RCLL,598080,"13",7
RGP-309S-0B,RGP,A1,CFM,RCSC+,32256,"12",8
RGP-309S-0B,RGP,A1,CFM,RAOIVT+,170880,"11",8
RGP-309S-0B,RGP,A1,CFM,RAOIPI+,32256,"10",8
RGP-309S-0B,RGP,A1,CVC,CREW,64512,"7",8
RGP-309S-0B,RGP,A1,CFM,RDES-,64512,"6",9
RGP-309S-0B,RGP,A1,CFM,XSB-,96768,"5",9
RGP-309S-0B,RGP,A1,CFM,CFL-,64512,"3",9
RGP-309S-1B,RGP,A1,QA,QA-Z,32928,"52",1
RGP-309S-1B,RGP,A1,FIN,FIN,32256,"50",1
RGP-309S-1B,RGP,A1,FIN,FBLK,16128,"49",1
RGP-309S-1B,RGP,A1,FIN,FPIC2,32256,"47",1
RGP-309S-1B,RGP,A1,FIN,FPIC,32256,"46",1
RGP-309S-1B,RGP,A1,FIN,FVIC2,48384,"45",2
RGP-368L-0B,RGP,A1,QA,QA-Z,5120,"155",1
RGP-368L-0B,RGP,A1,FIN,FINA,4672,"150",1
RGP-368L-0B,RGP,A1,FIN,FOST3,12416,"148",1
RGP-368L-0B,RGP,A1,FIN,FCLN3,9088,"146",2
RGP-368L-0B,RGP,A1,FIN,FOST,4672,"145",2
RGP-368L-0B,RGP,A1,FIN,FSTB3,4608,"141",2
RGP-368L-0B,RGP,A1,FIN,FSTB,32416,"139",2
RGP-368L-0B,RGP,A1,CVC,SMPJ,4672,"132",3
RGP-368L-0B,RGP,A1,SFT,SCFR,64768,"130",3
RGP-368L-0B,RGP,A1,CVC,CQBAK,4640,"129",3
RGP-368L-0B,RGP,A1,CVC,CQHPS,4672,"127",4
RGP-368L-0B,RGP,A1,CVC,CSTHA,45696,"126",4
RGP-368L-0B,RGP,A1,SFT,ELGOP,22752,"123",4
RGP-368L-0B,RGP,A1,SFT,SCHS,4640,"122",4
RGP-368L-0B,RGP,A1,SFT,SPDS,22912,"121",4
RGP-368L-0B,RGP,A1,CFM,LSD,4672,"117",5
RGP-368L-0B,RGP,A1,CFM,LSEDI,13984,"116",5
RGP-368L-0B,RGP,A1,CFM,LSPB,9280,"115",5
RGP-368L-0B,RGP,A1,CFM,LSP,13952,"114",5
RGP-368L-0B,RGP,A1,CFM,CSC,36640,"113",5
RGP-368L-0B,RGP,A1,CVC,CINP+,46656,"110",6
RGP-368L-0B,RGP,A1,CFM,CUTA3+,20896,"109",6
RGP-368L-0B,RGP,A1,CFM,RLSE,1024,"105",6
